CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,093744A,Bachelor of Science and Bachelor of Advanced Studies,,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Bachelor Degree,No,No,,,,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,093745M,Bachelor of Design Computing and Bachelor of Advanced Studies,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$209,180.00","$1,735.38","$210,915.38",No
00026A,The University of Sydney,093749G,Bachelor of Computing,,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$187,300.00","$1,135.87","$188,435.87",No
00026A,The University of Sydney,093751B,Bachelor of Arts and Doctor of Medicine,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",06 - Health,0601 - Medical Studies,060101 - General Medicine,Masters Degree (Extended),No,Yes,16.50,140,"2,310",English,364,"$630,900.00","$2,731.48","$633,631.48",No
00026A,The University of Sydney,093855E,Bachelor of Advanced Computing,,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",,,,Bachelor Degree,No,No,,,,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,093856D,Bachelor of Advanced Computing/Bachelor of Science,,Yes,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,093857C,Bachelor of Advanced Computing/Bachelor of Commerce,,Yes,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,,,,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,094170D,Bachelor of Visual Arts and Bachelor of Advanced Studies,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Bachelor Degree,No,No,,,,English,208,"$205,900.00","$1,925.91","$207,825.91",No
00026A,The University of Sydney,094484G,Bachelor of Music,,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,208,"$210,500.00","$1,525.91","$212,025.91",No
00026A,The University of Sydney,095861B,Master of Business Administration (Leadership and Enterprise),,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Masters Degree (Coursework),No,No,,,,English,78,"$91,050.00",$559.50,"$91,609.50",No
