CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,008407A,Master of Taxation,,No,09 - Society and Culture,0909 - Law,090911 - Taxation Law,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,008408M,Master of Laws (Research),,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,008414B,Master of Nutrition and Dietetics,,No,06 - Health,0699 - Other Health,069901 - Nutrition and Dietetics,,,,Masters Degree (Coursework),No,Yes,40.00,20,800,English,104,"$125,300.00",$936.60,"$126,236.60",No
00026A,The University of Sydney,008426J,Master of Veterinary Clinical Studies,,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,,,,Masters Degree (Research),No,Yes,30.00,75,"2,250",English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,008437F,Doctor of Philosophy in Nursing,,No,06 - Health,0603 - Nursing,"060300 - Nursing, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,008447D,Bachelor of Music (Music Education),,No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",,,,Bachelor Degree,No,Yes,34.10,17,580,English,208,"$210,500.00","$1,525.91","$212,025.91",No
00026A,The University of Sydney,008448C,Graduate Diploma in Music (Opera),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Graduate Diploma,No,No,,,,English,52,"$40,500.00",$329.00,"$40,829.00",No
00026A,The University of Sydney,008451G,Bachelor of Visual Arts,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Bachelor Degree,No,No,,,,English,156,"$152,100.00","$1,535.87","$153,635.87",No
00026A,The University of Sydney,008454E,Master of Music (Music Education),,No,07 - Education,0701 - Teacher Education,"070199 - Teacher Education, n.e.c.",,,,Masters Degree (Research),No,No,0.00,0,0,English,104,"$95,200.00",$751.60,"$95,951.60",No
00026A,The University of Sydney,009061C,Master of Philosophy (Arts and Social Sciences),,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,,,,Masters Degree (Research),No,No,,,,English,104,"$105,400.00",$751.60,"$106,151.60",No
00026A,The University of Sydney,009982F,Graduate Diploma in Heritage Conservation,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$49,700.00",$373.00,"$50,073.00",No
00026A,The University of Sydney,0100132,Master of Health Studies,,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,,,,Masters Degree (Coursework),No,No,,,,English,104,"$192,900.00",$751.60,"$193,651.60",No
00026A,The University of Sydney,0100133,Bachelor of Arts and Bachelor of Advanced Studies (Media and Communications),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Bachelor Degree,No,Yes,35.00,4,140,English,208,"$219,700.00","$1,525.91","$221,225.91",No
00026A,The University of Sydney,0100160,Bachelor of Science and Bachelor of Advanced Studies (Animal and Veterinary Bioscience),,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,,,,Bachelor Degree,No,Yes,37.50,8,300,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,0100161,Bachelor of Science and Bachelor of Advanced Studies (Food and Agribusiness),,No,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,,,,Bachelor Degree,No,Yes,37.50,11,412,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,0100162,Bachelor of Science and Bachelor of Advanced Studies (Agriculture),,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",,,,Bachelor Degree,No,Yes,37.50,8,300,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,0100199,Bachelor of Advanced Studies (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$52,500.00",$373.00,"$52,873.00",No
00026A,The University of Sydney,0100200,Doctor of Philosophy (Arts and Social Sciences),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,0100244,Doctor of Philosophy (Medicine and Health),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$244,500.00","$1,525.91","$246,025.91",No
00026A,The University of Sydney,0100634,Master of Exercise Physiology,,No,06 - Health,0699 - Other Health,069903 - Human Movement,,,,Masters Degree (Coursework),No,Yes,38.00,18,684,English,78,"$93,500.00",$866.50,"$94,366.50",No
00026A,The University of Sydney,0101564,Bachelor of Music and Bachelor of Advanced Studies (Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,260,"$261,300.00","$1,921.80","$263,221.80",No
00026A,The University of Sydney,0101565,Bachelor of Music and Bachelor of Advanced Studies (Composition),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,260,"$267,200.00","$1,921.80","$269,121.80",No
00026A,The University of Sydney,0101899,Bachelor of Veterinary Biology (Exit Only),,No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",,,,Bachelor Degree,No,Yes,40.00,5,200,English,156,"$222,000.00","$1,021.00","$223,021.00",No
00026A,The University of Sydney,0102041,Graduate Certificate in Management,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$25,250.00",$164.50,"$25,414.50",No
00026A,The University of Sydney,0102151,Bachelor of Advanced Studies (Media and Communications),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Bachelor Degree,No,Yes,35.00,4,140,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,0102152,Bachelor of Advanced Studies (Media and Communications) (Honours),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,4,140,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,012825D,Bachelor of Applied Science (Speech Pathology),,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Bachelor Degree,No,Yes,40.40,22,889,English,208,"$275,700.00","$1,727.91","$277,427.91",No
00026A,The University of Sydney,012846K,Graduate Diploma in Science (Research),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$58,800.00",$365.00,"$59,165.00",No
00026A,The University of Sydney,012849G,Bachelor of Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$174,000.00","$1,135.87","$175,135.87",No
00026A,The University of Sydney,012851B,Bachelor of Arts / Bachelor of Social Work,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Bachelor Degree,No,Yes,35.00,28,980,English,260,"$298,800.00","$1,921.80","$300,721.80",No
00026A,The University of Sydney,016226F,Graduate Diploma in Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Graduate Diploma,No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,016228D,Master of Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,016237C,Bachelor of Science / Bachelor of Laws,,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Bachelor Degree,No,No,,,,English,260,"$298,800.00","$1,921.80","$300,721.80",No
00026A,The University of Sydney,016238B,Master of Criminology (Research),,No,09 - Society and Culture,0909 - Law,090905 - Criminal Law,,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,016239A,Master of Environmental Law,,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,016246B,Bachelor of Medical Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,,,,English,156,"$184,530.00","$1,128.54","$185,658.54",No
00026A,The University of Sydney,017835F,Bachelor of Commerce and Bachelor of Laws,,Yes,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Bachelor Degree,No,No,,,,English,260,"$298,800.00","$1,921.80","$300,721.80",No
00026A,The University of Sydney,019178G,Master of Music (Composition),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Masters Degree (Research),No,No,,,,English,104,"$95,200.00",$751.60,"$95,951.60",No
00026A,The University of Sydney,019180B,Master of Music (Musicology),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Masters Degree (Research),No,No,,,,English,104,"$95,200.00",$751.60,"$95,951.60",No
00026A,The University of Sydney,019181A,Master of Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,019182M,Graduate Diploma in Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,019183K,Bachelor of Computer Science and Technology,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$187,300.00","$1,135.87","$188,435.87",No
00026A,The University of Sydney,019184J,Bachelor of Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,,,,English,208,"$241,400.00","$1,521.58","$242,921.58",No
00026A,The University of Sydney,019835A,Master of Philosophy (Business),,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,020152G,Master of Administrative Law and Policy,,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,020155D,Master of Teaching,,No,07 - Education,0701 - Teacher Education,"070199 - Teacher Education, n.e.c.",,,,Masters Degree (Coursework),No,Yes,35.00,17,595,English,104,"$109,800.00",$751.60,"$110,551.60",No
00026A,The University of Sydney,022306M,Bachelor of Applied Science (Exercise and Sport Science),,No,06 - Health,0699 - Other Health,069903 - Human Movement,,,,Bachelor Degree,No,Yes,,20,170,English,156,"$203,700.00","$1,443.00","$205,143.00",No
00026A,The University of Sydney,022312B,Master of Information Technology,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,022575A,Doctor of Education,,No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$182,800.00","$1,260.00","$184,060.00",No
00026A,The University of Sydney,023334K,Master of Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,023937E,Graduate Certificate in International Studies,,No,08 - Management and Commerce,0803 - Business and Management,080311 - International Business,,,,Graduate Certificate,No,No,,,,English,26,"$27,050.00",$186.50,"$27,236.50",No
00026A,The University of Sydney,023939C,Graduate Certificate in Commerce,,No,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,023941J,Graduate Certificate in Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Graduate Certificate,No,No,,,,English,26,"$27,050.00",$186.50,"$27,236.50",No
00026A,The University of Sydney,024656F,Graduate Certificate in Transport Management,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089901 - Purchasing, Warehousing and Distribution",,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,024659C,Graduate Diploma in Educational Studies,,No,07 - Education,0701 - Teacher Education,070111 - Teacher Education: Higher Education,,,,Graduate Diploma,No,No,,,,English,52,"$40,575.00",$373.00,"$40,948.00",No
00026A,The University of Sydney,025098A,Bachelor of Commerce (Liberal Studies),,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$235,500.00","$1,525.91","$237,025.91",No
00026A,The University of Sydney,025100A,Bachelor of Engineering / Bachelor of Arts,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,Yes,35.00,12,420,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,025101M,Bachelor of Engineering / Bachelor of Science,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,Yes,35.00,12,420,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,025102K,Bachelor of Engineering / Bachelor of Commerce,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Degree,No,Yes,35.00,12,420,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,026956M,Master of Philosophy (Education),,No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$105,400.00",$751.60,"$106,151.60",No
00026A,The University of Sydney,026957K,Bachelor of Music Studies,,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,156,"$155,500.00","$1,135.87","$156,635.87",No
00026A,The University of Sydney,026965K,Master of Studio Art,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Masters Degree (Coursework),No,No,,,,English,52,"$40,500.00",$329.00,"$40,829.00",No
00026A,The University of Sydney,027158M,Bachelor of Computer Science and Technology (Honours),,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$60,600.00",$373.00,"$60,973.00",No
00026A,The University of Sydney,027888K,Master of Occupational Therapy,,No,06 - Health,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,,,,Masters Degree (Coursework),No,Yes,40.00,25,"1,000",English,104,"$126,500.00",$918.60,"$127,418.60",No
00026A,The University of Sydney,028448D,Graduate Diploma in Environmental Law,,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",,,,Graduate Diploma,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,028450K,Graduate Diploma in Taxation,,No,09 - Society and Culture,0909 - Law,090911 - Taxation Law,,,,Graduate Diploma,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,028770E,Bachelor of Applied Science (Exercise and Sport Science) Honours,,No,06 - Health,0699 - Other Health,069903 - Human Movement,,,,Bachelor Honours Degree,No,No,,,,English,52,"$65,900.00",$680.00,"$66,580.00",No
00026A,The University of Sydney,029878G,Graduate Certificate in Heritage Conservation,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$24,850.00",$186.50,"$25,036.50",No
00026A,The University of Sydney,029879F,Graduate Certificate in Urban Design,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Graduate Certificate,No,No,,,,English,26,"$24,850.00",$186.50,"$25,036.50",No
00026A,The University of Sydney,029880B,Graduate Certificate in Urban and Regional Planning,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Graduate Certificate,No,No,,,,English,26,"$24,850.00",$186.50,"$25,036.50",No
00026A,The University of Sydney,029884J,Master of International Law,,No,09 - Society and Culture,0909 - Law,090909 - International Law,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,030522C,Doctor of Philosophy in Pharmacy,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Doctoral Degree,No,No,,,,English,208,"$244,500.00","$1,525.91","$246,025.91",No
00026A,The University of Sydney,030523B,Bachelor of Arts (Languages),,No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,208,"$219,700.00","$1,525.91","$221,225.91",No
00026A,The University of Sydney,030526K,Graduate Diploma in International Law,,No,09 - Society and Culture,0909 - Law,090909 - International Law,,,,Graduate Diploma,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,031315B,Bachelor of Arts (Media and Communications),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",,,,Bachelor Degree,No,Yes,35.00,4,140,English,208,"$219,700.00","$1,525.91","$221,225.91",No
00026A,The University of Sydney,031432G,Master of Health Law,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,031911D,Master of Project Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,031912C,Graduate Certificate in Project Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$28,950.00",$186.50,"$29,136.50",No
00026A,The University of Sydney,031913B,Graduate Diploma in Project Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,032440M,Bachelor of Resource Economics,,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",,,,Bachelor Degree,No,Yes,35.00,8,280,English,208,"$213,360.00","$1,521.58","$214,881.58",No
00026A,The University of Sydney,032885D,Bachelor of Engineering / Bachelor of Laws,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Bachelor Degree,No,Yes,35.00,12,420,English,312,"$364,000.00","$2,323.62","$366,323.62",No
00026A,The University of Sydney,032886C,Doctor of Philosophy in Visual Arts,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100300 - Visual Arts and Crafts, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,033069F,Bachelor of Education (Secondary Mathematics) / Bachelor of Science,,Yes,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,Yes,35.00,16,560,English,260,"$282,900.00","$1,761.00","$284,661.00",No
00026A,The University of Sydney,036730B,Bachelor of Design Computing,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$154,550.00","$1,342.34","$155,892.34",No
00026A,The University of Sydney,036736G,Bachelor of Arts (Honours),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$52,500.00",$373.00,"$52,873.00",No
00026A,The University of Sydney,036739D,Bachelor of Economics (Honours),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Honours Degree,No,No,,,,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,036741K,Bachelor of Commerce (Honours),,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,036742J,Bachelor of Commerce (Liberal Studies) (Honours),,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,036745F,Bachelor of Science (Honours),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$60,600.00",$373.00,"$60,973.00",No
00026A,The University of Sydney,036748C,Bachelor of Education (Secondary Humanities) B Arts,,No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,260,"$282,900.00","$1,761.00","$284,661.00",No
00026A,The University of Sydney,037177C,Bachelor of Engineering / Bachelor of Medical Science,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Bachelor Degree,No,Yes,35.00,12,420,English,260,"$332,900.00","$1,921.80","$334,821.80",No
00026A,The University of Sydney,039030F,Master of Science,,No,01 - Natural and Physical Sciences,0103 - Physics and Astronomy,010301 - Physics,,,,Masters Degree (Research),No,No,,,,English,104,"$112,870.00",$741.32,"$113,611.32",No
00026A,The University of Sydney,039120D,Bachelor of Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,039122B,Graduate Certificate in Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$28,950.00",$186.50,"$29,136.50",No
00026A,The University of Sydney,039123A,Graduate Diploma in Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,039857G,Doctor of Philosophy (Behavioural and Community Health Sciences),,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,"090599 - Human Welfare Studies and Services, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$206,500.00","$1,260.00","$207,760.00",No
00026A,The University of Sydney,039859E,Bachelor of Psychology (Honours),,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Honours Degree,No,No,,,,English,52,"$60,600.00",$373.00,"$60,973.00",No
00026A,The University of Sydney,039860A,Master of Philosophy (Social Work),,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Masters Degree (Research),No,No,,,,English,104,"$105,400.00",$751.60,"$106,151.60",No
00026A,The University of Sydney,039863J,Doctor of Philosophy (Music),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,040574G,Bachelor of Information Techonology (Honours),,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$60,600.00",$373.00,"$60,973.00",No
00026A,The University of Sydney,040575G,Bachelor of Medical Science (Honours),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Honours Degree,No,No,,,,English,52,"$62,700.00",$373.00,"$63,073.00",No
00026A,The University of Sydney,040576F,Bachelor of Arts (Media and Communications) (Honours),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$52,500.00",$373.00,"$52,873.00",No
00026A,The University of Sydney,040892E,Graduate Certificate in Educational Studies,,No,07 - Education,0701 - Teacher Education,070111 - Teacher Education: Higher Education,,,,Graduate Certificate,No,No,,,,English,26,"$27,050.00",$186.50,"$27,236.50",No
00026A,The University of Sydney,045006M,Graduate Diploma in Media Practice,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$57,300.00",$373.00,"$57,673.00",No
00026A,The University of Sydney,045007K,Doctor of Arts,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,045008J,Doctor of Social Sciences,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,045009G,Graduate Certificate in Media Practice,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$28,650.00",$186.50,"$28,836.50",No
00026A,The University of Sydney,045477B,Graduate Diploma in Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Graduate Diploma,No,No,,,,English,52,"$40,575.00",$373.00,"$40,948.00",No
00026A,The University of Sydney,045478A,Doctor of Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Doctoral Degree,No,No,,,,English,208,"$182,800.00","$1,260.00","$184,060.00",No
